Timestamp,AWS_Status,AWS_Latency_ms,Azure_Status,Azure_Latency_ms,GCP_Status,GCP_Latency_ms
8/26/2026 22:30,200,91.46,200,110.74,200,105.1
8/26/2026 22:30,200,107.37,200,141.22,200,82.84
8/26/2026 22:31,200,85.2,200,117.7,200,101.44
8/26/2026 22:31,200,95.07,200,115.96,200,103.96
8/26/2026 22:31,200,91.92,200,128.9,200,84.05
8/26/2026 22:31,200,107.39,200,118.3,200,119.09
8/26/2026 22:31,200,103.5,200,115.91,200,81.44
8/26/2026 22:31,200,106.05,200,115.67,200,101.94
8/26/2026 22:31,200,103.41,200,141.83,200,88
8/26/2026 22:31,200,81.84,200,126.84,200,78.75
8/26/2026 22:31,200,107.67,200,131.88,200,97.4
8/26/2026 22:31,200,106.52,200,117.69,200,99.21
8/26/2026 22:31,200,107.83,200,139.08,200,110.46
8/26/2026 22:31,200,113.25,200,132.78,200,102.99
8/26/2026 22:31,200,94.75,200,131.31,200,115.71
8/26/2026 22:31,200,86.57,200,119.02,200,86.75
8/26/2026 22:31,200,84.72,200,118.03,200,87.65
8/26/2026 22:31,200,104.98,200,133.49,200,96.14
8/26/2026 22:31,200,107.61,200,133.95,200,119.9
8/26/2026 22:31,200,106.27,200,134.09,200,97.97
8/26/2026 22:32,200,110.82,200,130.96,200,123.44
8/26/2026 22:32,200,105.66,200,119.18,200,111.1
8/26/2026 22:32,200,104.1,200,119.04,200,88.79
8/26/2026 22:32,200,110.37,200,132.46,200,112.49
8/26/2026 22:32,200,123.12,200,136.26,200,111.31
8/26/2026 22:32,200,111.65,200,117.3,200,95.74
8/26/2026 22:32,200,95.18,200,131.64,200,121.61
8/26/2026 22:32,200,109.38,200,131.03,200,112.39
8/26/2026 22:32,200,83.81,200,133.28,200,103.16
8/26/2026 22:32,200,105.73,200,126.16,200,105.78
8/26/2026 22:32,200,104.32,200,142.63,200,130.99
8/26/2026 22:32,200,106.17,200,150.41,200,87.73
8/26/2026 22:32,200,101.48,503,-1,200,109.38
8/26/2026 22:32,200,86.3,503,-1,200,101.86
8/26/2026 22:32,200,106.4,503,-1,200,108.03
8/26/2026 22:33,200,107.77,503,-1,200,87.43
8/26/2026 22:33,200,107.73,503,-1,200,111.51
8/26/2026 22:33,200,85.14,503,-1,200,111.73
8/26/2026 22:33,200,92.33,503,-1,200,97.75
8/26/2026 22:33,200,93.65,503,-1,200,102.33
8/26/2026 22:33,200,109.36,503,-1,200,105.69
8/26/2026 22:33,200,106.44,503,-1,200,116
8/26/2026 22:34,200,106.98,503,-1,200,109.32
8/26/2026 22:34,200,105.8,503,-1,200,117.35
8/26/2026 22:34,200,107.27,503,-1,200,110.27
8/26/2026 22:34,200,106.81,503,-1,200,103.26
8/26/2026 22:34,200,108.54,503,-1,200,113.97
8/26/2026 22:34,200,99.23,503,-1,200,103.19
8/26/2026 22:34,200,96.66,503,-1,200,103.89
8/26/2026 22:34,200,139.62,200,182.6,200,168.75
8/26/2026 22:34,200,113.65,200,131.33,200,129.01
8/26/2026 22:34,200,107.3,200,132.34,200,97.41
8/26/2026 22:34,200,102.9,200,139.57,200,84.06
8/26/2026 22:35,200,122.36,200,141.26,200,109.72
8/26/2026 22:35,200,108.97,200,136.46,200,113.84
8/26/2026 22:35,200,82.82,200,118.45,200,109.18
8/26/2026 22:35,200,107.78,200,119.51,200,85.1
8/26/2026 22:35,200,82.93,200,125.3,200,107.58
8/26/2026 22:35,200,134.47,200,141.78,200,87.91
8/26/2026 22:35,200,102.17,200,120.26,200,87.73
8/26/2026 22:35,200,107.01,200,119.74,200,122.14
8/26/2026 22:35,200,117.08,200,133.26,200,82.67
8/26/2026 22:35,200,110.92,200,126.95,200,129.26
8/26/2026 22:35,200,103.23,200,138.67,200,88.07
8/26/2026 22:35,200,109.61,200,142.35,200,98.83
